ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
1730,60.8764,26.8249,7.8760,0.28137E+02,0.15422E-01,14,17.6762,14,14.7456,11615.6035,15,18.0984,14,32.4219,0.00000E+00,0.00000E+00,COELESCE
2642,113.1747,66.1777,5.2060,0.32513E+02,0.15831E-01,14,34.0775,14,33.2437,2353.3020,15,34.8363,14,67.3212,0.00000E+00,0.00000E+00,COELESCE
3070,77.3085,72.0894,4.9961,0.46270E+02,0.11158E-01,14,27.0218,14,32.0217,13990.0977,14,59.0435,15,32.6805,0.00000E+00,0.00000E+00,COELESCE
3302,58.8988,58.7790,4.6502,0.23403E+02,0.21118E-01,14,19.7494,14,19.6607,3145.6863,15,20.2484,14,39.4101,0.00000E+00,0.00000E+00,COELESCE
3769,119.9626,41.8603,6.1373,0.92060E+01,0.92111E-02,14,27.3130,14,26.9694,34.9528,15,27.0728,14,54.2824,0.00000E+00,0.00000E+00,COELESCE
4907,100.0403,54.9974,5.5568,0.46076E+02,0.81457E-02,14,32.5165,14,28.8655,12241.6475,15,32.9778,14,61.3820,0.00000E+00,0.00000E+00,COELESCE
6830,77.8662,44.4795,6.1263,0.28753E+02,0.10648E-01,14,23.6732,14,23.2854,4234.3677,15,23.9952,14,46.9586,0.00000E+00,0.00000E+00,COELESCE
6886,61.3281,58.9340,4.6449,0.87562E+01,0.16788E-01,14,21.8092,14,20.0388,56.2086,15,22.2247,14,41.8480,0.00000E+00,0.00000E+00,COELESCE
7564,51.6392,31.5398,7.5001,0.19945E+02,0.16210E-01,14,15.4262,14,15.4197,3465.8530,15,15.8793,14,30.8460,0.00000E+00,0.00000E+00,COELESCE
9133,63.2673,58.3568,4.6615,0.30022E+02,0.18272E-01,14,24.0698,14,20.2066,6002.4595,15,24.5331,14,44.2765,0.00000E+00,0.00000E+00,COELESCE
9212,25.2832,13.1247,15.8706,0.11168E+02,0.60271E+00,14,4.1950,13,2.6099,6769.3647,15,8.8516,14,6.8049,0.00000E+00,0.00000E+00,COELESCE
9898,91.1076,37.6058,6.4852,0.23469E+02,0.10782E-01,14,23.5748,14,22.7969,1957.8215,15,23.8296,14,46.3716,0.00000E+00,0.00000E+00,COELESCE
10051,105.6884,86.0593,4.0047,0.76634E+01,0.73764E-02,14,39.0188,14,31.5696,10.3756,15,41.1920,14,70.5884,0.00000E+00,0.00000E+00,COELESCE
11055,61.6975,61.4305,4.5556,0.35541E+02,0.14645E-01,14,23.9761,14,23.7205,9262.9521,15,24.4744,14,47.6967,0.00000E+00,0.00000E+00,COELESCE
12616,140.1026,56.9977,5.4550,0.45855E+02,0.88222E-02,14,37.6888,14,31.8765,8358.2490,15,39.9970,14,69.5652,0.00000E+00,0.00000E+00,COELESCE
13385,28.7264,12.3007,15.6640,0.14904E+02,0.73596E+00,14,6.1470,13,2.5698,3882.5161,15,10.3902,14,8.7168,0.00000E+00,0.00000E+00,COELESCE
13606,63.6465,58.4684,4.7292,0.31741E+02,0.13140E-01,14,24.8128,14,20.2787,7094.0156,15,25.2615,14,45.0915,0.00000E+00,0.00000E+00,COELESCE
14122,125.7659,42.8378,6.0775,0.45808E+02,0.83414E-02,14,36.1767,14,23.7652,13342.3877,15,37.8272,14,59.9419,0.00000E+00,0.00000E+00,COELESCE
14387,111.9532,105.7402,3.7595,0.79023E+01,0.26179E-01,14,37.1767,14,35.5728,10.2545,15,39.3187,14,72.7495,0.00000E+00,0.00000E+00,COELESCE
15338,70.8048,66.7407,4.3924,0.31692E+02,0.20365E-01,14,25.6018,14,22.8296,5675.2007,15,26.0725,14,48.4314,0.00000E+00,0.00000E+00,COELESCE
15485,47.6038,28.7702,7.9752,0.25457E+02,0.35150E-01,14,14.7579,14,13.1846,12043.8135,15,15.2416,14,27.9425,0.00000E+00,0.00000E+00,COELESCE
15884,34.4989,32.5373,6.8448,0.67203E+01,0.21797E+00,14,12.7154,14,7.5167,148.6300,15,14.0094,14,20.2321,0.00000E+00,0.00000E+00,COELESCE
16829,122.0564,58.0056,5.4888,0.16570E+02,0.11200E-01,14,32.8151,14,32.2426,181.0226,15,32.7988,14,65.0577,0.00000E+00,0.00000E+00,COELESCE
17609,125.3699,119.0603,3.6609,0.92761E+01,0.41285E-01,14,38.5564,14,37.3556,14.4497,15,41.5099,14,75.9120,0.00000E+00,0.00000E+00,COELESCE
18078,68.7733,66.0179,5.1812,0.41561E+02,0.94077E-02,14,23.6100,14,29.5382,12586.5498,14,53.1482,15,30.0382,0.00000E+00,0.00000E+00,COELESCE
18151,81.8693,57.3471,5.4730,0.40862E+02,0.89624E-02,14,27.8593,14,27.9292,10098.1045,14,55.7885,15,28.4292,0.00000E+00,0.00000E+00,COELESCE
18884,59.7652,33.8184,7.0969,0.23914E+02,0.14215E-01,14,17.9231,14,17.2520,4811.2969,15,18.3343,14,35.1751,0.00000E+00,0.00000E+00,COELESCE
19416,41.9289,23.6277,9.0042,0.20797E+03,0.98997E+00,14,17.2178,14,3.7013,757.7153,15,17.6737,14,20.9191,0.00000E+00,0.00000E+00,COELESCE
