ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
106,12.4519,9.4673,30.2228,0.61350E+02,0.98744E+00,13,1.3720,13,1.4937,1980.7935,15,4.1071,13,2.8657,0.00000E+00,0.00000E+00,COELESCE
288,19.3077,17.5445,14.4707,0.60186E+01,0.24447E+00,13,2.3912,14,3.2742,3811.9551,15,6.8712,14,5.6654,0.00000E+00,0.00000E+00,COELESCE
399,10.3490,7.6877,39.1973,0.59302E+02,0.99445E+00,13,1.2362,13,1.2355,273.2532,13,2.4718,15,3.8245,0.00000E+00,0.00000E+00,COELESCE
592,16.5669,13.4720,18.3346,0.25560E+01,0.68342E+00,13,1.8850,13,1.4180,105.5286,14,3.3030,15,4.3890,0.00000E+00,0.00000E+00,COELESCE
703,9.5670,8.5628,38.2002,0.60053E+01,0.87640E+00,13,1.2360,13,1.3546,390.7411,15,2.0582,13,2.5906,0.00000E+00,0.00000E+00,COELESCE
838,23.8268,12.7369,20.3101,0.45938E+00,0.36825E+00,14,3.2394,13,1.2355,20.5478,14,4.4749,15,2.9404,0.00000E+00,0.00000E+00,COELESCE
852,23.3628,7.8396,23.0425,0.21954E+01,0.74141E+00,13,2.9898,13,1.4287,35.6811,14,4.4185,15,4.6149,0.00000E+00,0.00000E+00,COELESCE
864,30.7892,16.4028,12.8325,0.11612E+02,0.26618E+00,14,6.3174,14,3.6907,9415.6406,15,10.5084,14,10.0081,0.00000E+00,0.00000E+00,COELESCE
966,23.2713,11.1266,18.7985,0.79120E+01,0.55169E+00,14,3.0956,13,1.9392,5736.8633,14,5.0348,15,5.8956,0.00000E+00,0.00000E+00,COELESCE
1057,17.2088,6.6368,31.2182,0.66098E+01,0.90702E+00,13,1.8446,13,1.2355,164.9277,14,3.0801,15,3.8969,0.00000E+00,0.00000E+00,COELESCE
1179,19.5947,12.7710,18.2888,0.17699E+02,0.84268E+00,13,2.3193,13,2.0485,10606.5137,14,4.3678,15,6.1595,0.00000E+00,0.00000E+00,COELESCE
1202,28.1282,18.4011,12.3531,0.94324E+01,0.12345E+00,14,5.1788,14,4.1607,5935.6050,15,9.6736,14,9.3395,0.00000E+00,0.00000E+00,COELESCE
1258,56.7152,37.9212,6.7649,0.29375E+02,0.14313E-01,14,16.4248,14,18.5090,10996.6143,14,34.9338,15,19.0090,0.00000E+00,0.00000E+00,COELESCE
