ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
30,18.3989,11.8960,19.8375,0.63672E+01,0.36196E+00,13,1.7930,13,1.8048,13308.5264,15,5.4882,14,3.5979,0.00000E+00,0.00000E+00,COELESCE
399,10.3490,7.6877,39.2252,0.53794E+01,0.52874E+00,13,1.2360,13,1.2387,10874.0947,15,2.2680,13,2.4747,0.00000E+00,0.00000E+00,COELESCE
614,20.2780,16.9392,14.2904,0.73335E+01,0.52375E+00,13,1.9280,13,2.5763,6589.6777,15,5.8562,14,4.5044,0.00000E+00,0.00000E+00,COELESCE
711,18.0730,8.1000,25.4336,0.33936E+02,0.94613E+00,13,1.6757,13,1.3845,13960.4707,14,3.0602,15,4.2722,0.00000E+00,0.00000E+00,COELESCE
716,11.4000,9.9083,29.6641,0.60644E+01,0.69096E+00,13,1.2363,13,1.4642,4656.6436,15,2.6288,13,2.7006,0.00000E+00,0.00000E+00,COELESCE
1247,14.7176,8.5940,29.2688,0.42723E+01,0.67314E+00,13,1.4922,13,1.2463,1316.7333,13,2.7385,15,3.9174,0.00000E+00,0.00000E+00,COELESCE
1730,60.8764,26.8249,7.8760,0.28137E+02,0.15422E-01,14,17.6762,14,14.7456,11615.6035,15,18.0984,14,32.4219,0.00000E+00,0.00000E+00,COELESCE
1850,21.8119,17.2161,13.8648,0.48419E+01,0.17897E+00,13,2.2062,13,2.7645,2599.0312,15,6.4944,14,4.9706,0.00000E+00,0.00000E+00,COELESCE
1877,20.0789,8.8447,23.1374,0.30327E+02,0.93190E+00,13,2.0252,13,1.4940,12729.6973,14,3.5192,15,4.5780,0.00000E+00,0.00000E+00,COELESCE
2015,10.2934,8.4839,37.1094,0.27383E+02,0.95370E+00,13,1.2622,13,1.2355,6924.4214,13,2.4977,15,3.7464,0.00000E+00,0.00000E+00,COELESCE
2121,22.8886,11.3586,18.2862,0.67954E+01,0.31718E+00,13,2.5891,13,1.8557,10704.5381,14,4.4447,15,5.6759,0.00000E+00,0.00000E+00,COELESCE
2151,14.4251,9.2304,27.2879,0.13404E+02,0.94021E+00,13,1.2444,13,1.2528,1075.8914,15,3.7076,13,2.4972,0.00000E+00,0.00000E+00,COELESCE
2285,17.1294,7.7558,27.6189,0.99282E+01,0.86437E+00,13,1.5574,13,1.2480,2746.4368,13,2.8054,15,3.9333,0.00000E+00,0.00000E+00,COELESCE
2327,22.9409,15.4124,15.6146,0.21406E+02,0.88511E+00,13,2.8200,13,1.3624,11090.4951,14,4.1824,15,4.2110,0.00000E+00,0.00000E+00,COELESCE
2328,11.9600,9.3588,30.0767,0.11411E+02,0.89842E+00,13,1.2367,13,1.3006,2640.7532,15,2.8223,13,2.5373,0.00000E+00,0.00000E+00,COELESCE
2331,12.1461,9.7839,29.1379,0.22931E+02,0.96502E+00,13,1.2376,13,1.2466,1675.5170,15,2.7315,13,2.4842,0.00000E+00,0.00000E+00,COELESCE
2514,11.2570,7.8689,36.4555,0.22379E+01,0.70329E+00,13,1.2371,13,1.2355,136.6003,13,2.4726,15,2.8955,0.00000E+00,0.00000E+00,COELESCE
2593,11.3204,11.2644,24.8336,0.13324E+02,0.89612E+00,13,1.2357,13,1.2355,5398.4658,13,2.4712,15,2.5455,0.00000E+00,0.00000E+00,COELESCE
2598,12.7093,7.5929,33.9776,0.46068E+02,0.97622E+00,13,1.2365,13,1.2355,6457.6113,13,2.4720,15,3.4765,0.00000E+00,0.00000E+00,COELESCE
2641,24.6262,11.4039,17.4968,0.53354E+01,0.53535E-01,14,3.1422,13,1.8507,4439.8672,14,4.9929,15,5.6621,0.00000E+00,0.00000E+00,COELESCE
2642,113.1747,66.1777,5.2060,0.32513E+02,0.15831E-01,14,34.0775,14,33.2437,2353.3020,15,34.8363,14,67.3212,0.00000E+00,0.00000E+00,COELESCE
2893,10.4878,8.5495,36.2990,0.46059E+01,0.75985E+00,13,1.2370,13,1.2355,1025.9097,13,2.4725,15,3.5956,0.00000E+00,0.00000E+00,COELESCE
3212,12.3568,12.3357,21.4345,0.13466E+01,0.38419E+00,13,1.2357,13,1.2355,100.5263,13,2.4712,15,2.8809,0.00000E+00,0.00000E+00,COELESCE
3261,13.6112,6.9871,34.4294,0.33668E+01,0.75322E+00,13,1.2368,13,1.2355,341.4525,13,2.4723,15,3.1056,0.00000E+00,0.00000E+00,COELESCE
3415,13.9430,8.1135,30.1008,0.35372E+02,0.97865E+00,13,1.2371,13,1.2355,1902.6847,13,2.4727,15,3.5298,0.00000E+00,0.00000E+00,COELESCE
3746,11.7299,7.9266,35.2007,0.34146E+01,0.76057E+00,13,1.2371,13,1.2355,333.0187,13,2.4727,15,3.3146,0.00000E+00,0.00000E+00,COELESCE
3769,119.9626,41.8603,6.1373,0.92060E+01,0.92111E-02,14,27.3130,14,26.9694,34.9528,15,27.0728,14,54.2824,0.00000E+00,0.00000E+00,COELESCE
3852,20.0871,14.6014,16.3154,0.70249E+01,0.42060E+00,13,2.0623,13,2.1915,9925.6611,15,6.1807,14,4.2539,0.00000E+00,0.00000E+00,COELESCE
