ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
1044,69.5474,64.3689,5.1924,0.40730E+02,0.20907E-01,14,28.2380,14,33.8811,7330.3813,14,62.1192,15,35.1799,0.00000E+00,0.00000E+00,COELESCE
1289,74.3594,54.3256,5.5761,0.38428E+02,0.82205E-02,14,29.9390,14,30.8844,6172.2427,14,60.8234,15,31.3844,0.00000E+00,0.00000E+00,COELESCE
2630,55.2653,27.1020,7.8767,0.17577E+02,0.15012E-01,14,16.6783,14,16.6290,1663.1516,15,17.1529,14,33.3074,0.00000E+00,0.00000E+00,COELESCE
2759,25.5413,16.9476,13.1673,0.11856E+02,0.17703E+00,14,16.0748,13,2.1279,4538.2969,15,25.5061,14,18.2027,0.00000E+00,0.00000E+00,COELESCE
3410,26.1654,15.3974,14.9261,0.47804E+01,0.23271E+00,14,17.1757,13,1.8469,128.3586,15,26.1278,14,19.0226,0.00000E+00,0.00000E+00,COELESCE
4324,97.3345,72.6089,4.4783,0.66067E+02,0.60869E+00,14,36.2522,14,35.0222,6572.4785,15,96.5109,14,71.2744,0.00000E+00,0.00000E+00,COELESCE
5144,48.4496,35.3688,7.0472,0.22914E+02,0.13707E-01,14,17.5907,14,18.8864,3653.8618,14,36.4772,15,19.3864,0.00000E+00,0.00000E+00,COELESCE
5397,64.7355,64.0023,4.4216,0.87786E+01,0.81741E-02,14,26.6153,14,26.1669,30.3353,15,27.1098,14,52.7822,0.00000E+00,0.00000E+00,COELESCE
6776,43.9415,29.0942,7.9482,0.26417E+02,0.16114E-01,14,15.6977,14,15.3315,10245.8193,15,16.1867,14,31.0292,0.00000E+00,0.00000E+00,COELESCE
7089,51.6830,41.7896,6.4178,0.22440E+02,0.11966E-01,14,19.3090,14,22.4746,2248.3748,14,41.7836,15,22.9746,0.00000E+00,0.00000E+00,COELESCE
7141,64.3893,33.9961,6.9453,0.27644E+02,0.11524E-01,14,22.5822,14,20.8057,4589.1987,15,23.0387,14,43.3879,0.00000E+00,0.00000E+00,COELESCE
7288,52.5798,33.7724,7.1438,0.27115E+02,0.13201E-01,14,19.1836,14,18.6926,6331.2666,15,19.6641,14,37.8762,0.00000E+00,0.00000E+00,COELESCE
7547,50.5796,24.9951,8.3542,0.23338E+02,0.16070E-01,14,16.5022,14,14.6116,6290.6382,15,16.9845,14,31.1138,0.00000E+00,0.00000E+00,COELESCE
7728,80.7661,69.4675,4.5988,0.70408E+02,0.62838E+00,14,35.9177,14,33.1618,8090.5298,15,80.2783,14,69.0795,0.00000E+00,0.00000E+00,COELESCE
7860,139.4317,132.2518,3.5508,0.17855E+02,0.17180E+00,14,44.6118,14,43.8743,87.9961,15,52.8090,14,88.4861,0.00000E+00,0.00000E+00,COELESCE
8198,115.3253,99.4196,3.7925,0.15984E+02,0.58442E-01,14,42.5579,14,38.5896,81.4126,15,48.6904,14,81.1475,0.00000E+00,0.00000E+00,COELESCE
8334,60.2859,49.4470,5.8462,0.38362E+02,0.97946E-02,14,24.0238,14,27.0250,10269.3193,14,51.0488,15,27.5250,0.00000E+00,0.00000E+00,COELESCE
8351,109.0524,100.6263,3.7776,0.13779E+02,0.55188E-01,14,40.8476,14,38.5992,49.4696,15,45.6437,14,79.4468,0.00000E+00,0.00000E+00,COELESCE
9043,96.4473,93.0952,3.8735,0.13629E+02,0.68575E-01,14,38.4419,14,37.3091,54.0014,15,41.7493,14,75.7511,0.00000E+00,0.00000E+00,COELESCE
