ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
3488,14.4123,8.0966,31.5542,0.66004E+01,0.88384E+00,13,1.5073,13,1.2513,386.2357,13,2.7586,15,3.9646,0.00000E+00,0.00000E+00,COELESCE
3499,8.6411,8.4526,43.2338,0.34679E+02,0.95924E+00,13,1.2365,13,1.2756,11140.7480,15,1.7948,13,2.5121,0.00000E+00,0.00000E+00,COELESCE
3552,17.9447,8.6516,25.2247,0.85670E+01,0.91365E+00,13,1.9147,13,1.3758,271.8468,14,3.2905,15,4.3797,0.00000E+00,0.00000E+00,COELESCE
3604,10.6900,10.2051,29.0966,0.12346E+01,0.23756E+00,13,1.2360,13,1.2355,109.3317,13,2.4715,15,2.5300,0.00000E+00,0.00000E+00,COELESCE
3638,17.8650,6.1198,31.7348,0.18777E+01,0.60683E+00,13,1.8845,13,1.2355,86.8450,14,3.1200,15,3.4712,0.00000E+00,0.00000E+00,COELESCE
3769,119.9626,41.8603,6.1373,0.92060E+01,0.92111E-02,14,27.3130,14,26.9694,34.9528,15,27.0728,14,54.2824,0.00000E+00,0.00000E+00,COELESCE
3905,10.0943,7.4840,42.0971,0.35294E+01,0.76441E+00,13,1.2369,13,1.2355,366.8424,13,2.4725,15,3.7287,0.00000E+00,0.00000E+00,COELESCE
3928,44.1868,28.0406,8.2041,0.23489E+02,0.53174E-01,14,12.4902,14,11.6126,13461.4795,15,13.9253,14,24.1029,0.00000E+00,0.00000E+00,COELESCE
3989,17.2545,16.1191,14.5069,0.28765E+01,0.73306E+00,13,2.1451,13,1.3154,93.2295,14,3.4604,15,4.2149,0.00000E+00,0.00000E+00,COELESCE
4357,17.7963,7.4617,28.4714,0.13702E+02,0.82727E+00,13,2.0050,13,1.4255,10743.4238,14,3.4305,15,4.2961,0.00000E+00,0.00000E+00,COELESCE
4370,19.9825,7.6166,25.7661,0.16681E+02,0.88121E+00,13,2.3297,13,1.4705,5811.4946,14,3.8002,15,4.4656,0.00000E+00,0.00000E+00,COELESCE
4410,9.5734,8.6826,38.8877,0.76649E+01,0.86846E+00,13,1.2368,13,1.3111,1213.7189,15,2.0568,13,2.5479,0.00000E+00,0.00000E+00,COELESCE
4790,11.7211,9.4575,32.4305,0.11215E+02,0.90083E+00,13,1.2954,13,1.3956,1959.4363,15,3.8670,13,2.6910,0.00000E+00,0.00000E+00,COELESCE
4872,28.0568,27.4371,9.2960,0.13800E+02,0.30914E+00,14,4.8345,14,7.9647,8101.4302,14,12.7992,15,11.5775,0.00000E+00,0.00000E+00,COELESCE
4907,100.0403,54.9974,5.5568,0.46076E+02,0.81457E-02,14,32.5165,14,28.8655,12241.6475,15,32.9778,14,61.3820,0.00000E+00,0.00000E+00,COELESCE
4924,24.5316,11.8063,16.9737,0.44184E+01,0.80729E+00,13,2.7575,13,1.7741,92.3152,14,4.5316,15,5.9032,0.00000E+00,0.00000E+00,COELESCE
4953,24.7315,12.6778,16.5493,0.74989E+01,0.49174E+00,14,3.5482,13,2.1009,4507.9756,14,5.6492,15,6.2786,0.00000E+00,0.00000E+00,COELESCE
5202,10.3003,9.7869,33.0526,0.23683E+01,0.67833E+00,13,1.2372,13,1.3982,163.0765,15,2.2559,13,2.6354,0.00000E+00,0.00000E+00,COELESCE
5335,9.2027,7.6773,44.6073,0.28226E+01,0.52052E+00,13,1.2365,13,1.2355,927.1190,13,2.4721,15,3.7601,0.00000E+00,0.00000E+00,COELESCE
5437,17.5821,14.8311,16.0236,0.34788E+01,0.80134E+00,13,2.1909,13,1.3319,84.3113,14,3.5228,15,4.2989,0.00000E+00,0.00000E+00,COELESCE
5960,13.5306,7.4503,35.3895,0.26319E+01,0.82270E+00,13,1.4527,13,1.2355,69.7915,13,2.6882,15,3.5562,0.00000E+00,0.00000E+00,COELESCE
6001,13.7739,11.4162,23.7438,0.48511E+01,0.86794E+00,13,1.3880,13,1.6424,137.8000,15,4.1532,14,3.0304,0.00000E+00,0.00000E+00,COELESCE
6035,11.4824,11.1602,25.2940,0.24330E+01,0.74298E+00,13,1.2569,13,1.2355,116.5753,13,2.4925,15,3.1778,0.00000E+00,0.00000E+00,COELESCE
6100,14.8540,8.9993,27.3524,0.51612E+01,0.88938E+00,13,1.4863,13,1.3451,131.4927,13,2.8314,15,4.3079,0.00000E+00,0.00000E+00,COELESCE
6102,38.4878,17.7159,10.9735,0.12204E+02,0.12833E+00,14,9.5045,14,4.2618,5973.6689,15,12.4368,14,13.7663,0.00000E+00,0.00000E+00,COELESCE
6107,22.0535,13.6976,16.0567,0.29495E+02,0.97213E+00,13,2.3456,13,1.9557,456.0646,14,4.3013,15,6.4591,0.00000E+00,0.00000E+00,COELESCE
