ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
15339,73.7341,57.7968,5.2009,0.24311E+02,0.19191E+00,14,33.3547,14,32.3926,696.2452,15,33.0949,14,65.7473,0.00000E+00,0.00000E+00,COELESCE
15452,112.8335,57.1701,5.2312,0.28872E+02,0.43762E+00,14,41.1572,14,33.4762,515.0532,15,44.3171,14,74.6334,0.00000E+00,0.00000E+00,COELESCE
15485,47.6038,28.7702,7.9752,0.25974E+02,0.54035E-01,14,14.7579,14,13.1846,12949.8262,15,15.2416,14,27.9425,0.00000E+00,0.00000E+00,COELESCE
15505,30.8886,29.2267,7.4765,0.27775E+02,0.76075E+00,14,21.4859,14,8.1218,954.1457,15,30.4600,14,29.6077,0.00000E+00,0.00000E+00,COELESCE
15797,47.5022,43.1495,6.0907,0.20848E+02,0.41930E+00,14,20.4237,14,23.2012,742.9674,14,43.6250,15,23.7012,0.00000E+00,0.00000E+00,COELESCE
16605,38.4383,24.9612,9.0666,0.89491E+01,0.46909E-01,14,13.7442,14,14.0837,198.9116,14,27.8279,15,14.6400,0.00000E+00,0.00000E+00,COELESCE
16694,141.4510,105.8269,4.4300,0.60754E+01,0.37517E-01,14,41.1590,14,37.7106,6.2061,15,41.7976,14,78.8696,0.00000E+00,0.00000E+00,COELESCE
16829,122.0564,58.0056,5.4888,0.16570E+02,0.11200E-01,14,32.8151,14,32.2426,181.0226,15,32.7988,14,65.0577,0.00000E+00,0.00000E+00,COELESCE
17023,31.6868,18.2602,11.7929,0.48889E+01,0.23996E+00,14,10.0952,14,6.2368,83.9435,15,12.7575,14,16.3320,0.00000E+00,0.00000E+00,COELESCE
17885,148.3168,93.6331,4.1469,0.11954E+02,0.64582E+00,14,6.3545,14,43.5130,40.4165,14,49.8675,15,50.7795,0.00000E+00,0.00000E+00,COELESCE
18151,81.8693,57.3471,5.4730,0.40862E+02,0.89624E-02,14,27.8593,14,27.9292,10098.1045,14,55.7885,15,28.4292,0.00000E+00,0.00000E+00,COELESCE
18884,59.7652,33.8184,7.0969,0.23914E+02,0.14215E-01,14,17.9231,14,17.2520,4811.2969,15,18.3343,14,35.1751,0.00000E+00,0.00000E+00,COELESCE
19374,141.2316,118.9235,4.2204,0.61970E+01,0.40413E-01,14,42.3526,14,38.2424,6.0219,15,43.3907,14,80.5950,0.00000E+00,0.00000E+00,COELESCE
19533,32.5339,23.6722,9.7951,0.60958E+01,0.25336E+00,14,9.3205,14,11.2477,90.8274,14,20.5682,15,13.3316,0.00000E+00,0.00000E+00,COELESCE
19647,24.5612,14.2786,16.9106,0.36313E+01,0.18563E+00,14,12.3536,13,1.6688,101.8790,15,24.3120,14,14.0223,0.00000E+00,0.00000E+00,COELESCE
20161,36.5927,27.6371,8.5754,0.11568E+02,0.40413E+00,14,13.7790,14,14.9892,264.7507,14,28.7681,15,15.4892,0.00000E+00,0.00000E+00,COELESCE
20232,83.5660,40.7089,6.3347,0.19130E+02,0.11067E-01,14,21.9029,14,23.2765,938.3163,14,45.1795,15,23.7765,0.00000E+00,0.00000E+00,COELESCE
20794,139.2394,138.0005,3.6132,0.12318E+02,0.94932E-01,14,44.5137,14,44.1012,24.1490,15,52.6791,14,88.6149,0.00000E+00,0.00000E+00,COELESCE
21402,62.9869,48.7348,5.6608,0.20746E+02,0.30743E+00,14,28.1788,14,27.2317,496.2046,15,27.8309,14,55.4105,0.00000E+00,0.00000E+00,COELESCE
21633,37.9314,30.3484,7.8932,0.17991E+02,0.55513E+00,14,15.7315,14,16.1201,577.9504,14,31.8517,15,16.6201,0.00000E+00,0.00000E+00,COELESCE
21913,47.0820,44.0747,6.0775,0.19656E+02,0.34800E+00,14,19.3687,14,23.8068,764.6172,14,43.1755,15,24.3068,0.00000E+00,0.00000E+00,COELESCE
22326,117.8994,115.3570,4.1629,0.61261E+01,0.38956E-01,14,41.6252,14,37.9667,5.9492,15,42.4123,14,79.5919,0.00000E+00,0.00000E+00,COELESCE
22645,45.2885,36.8062,6.7418,0.17515E+02,0.21097E+00,14,18.8793,14,19.7780,895.5162,14,38.6574,15,20.2780,0.00000E+00,0.00000E+00,COELESCE
23121,121.0108,70.4963,5.0918,0.33624E+02,0.20725E-01,14,35.4787,14,34.2627,2420.0020,15,36.7065,14,69.7413,0.00000E+00,0.00000E+00,COELESCE
23563,34.6262,25.1885,9.2207,0.93307E+01,0.41413E+00,14,12.8227,14,12.6810,159.1573,15,13.9119,14,25.5037,0.00000E+00,0.00000E+00,COELESCE
23902,46.0718,34.1524,7.1058,0.18294E+02,0.27644E+00,14,18.5175,14,18.6610,1058.6249,14,37.1785,15,19.1610,0.00000E+00,0.00000E+00,COELESCE
23920,115.0460,59.5245,4.7514,0.26751E+02,0.48965E+00,14,43.1195,14,29.3244,344.8119,15,104.9281,14,72.4439,0.00000E+00,0.00000E+00,COELESCE
23966,106.9852,43.7966,6.0713,0.34461E+02,0.88592E-02,14,31.2031,14,25.2351,5073.8174,15,31.3756,14,56.4382,0.00000E+00,0.00000E+00,COELESCE
24050,71.6420,42.7577,6.2569,0.32118E+02,0.11245E-01,14,22.7506,14,21.7142,7669.8472,15,23.1176,14,44.4648,0.00000E+00,0.00000E+00,COELESCE
24617,33.3133,31.5466,6.9864,0.15757E+02,0.45879E+00,14,25.9040,14,10.1337,459.3100,15,32.8105,14,36.0377,0.00000E+00,0.00000E+00,COELESCE
25275,34.7170,32.9691,7.8077,0.18184E+04,0.99830E+00,14,9.9145,14,17.7139,2306.6565,14,27.6285,15,18.2139,0.00000E+00,0.00000E+00,COELESCE
25296,49.1838,19.5726,9.9022,0.20174E+02,0.46932E+00,14,18.2812,14,9.9693,2145.0242,15,18.3823,14,28.2505,0.00000E+00,0.00000E+00,COELESCE
25357,27.3415,25.2068,9.0055,0.75063E+01,0.23152E+00,14,14.4002,14,6.7810,211.1757,15,27.0058,14,21.1812,0.00000E+00,0.00000E+00,COELESCE
25582,127.5581,126.1933,4.0864,0.62509E+01,0.41944E-01,14,42.9019,14,38.5130,5.8953,15,44.1157,14,81.4149,0.00000E+00,0.00000E+00,COELESCE
25732,53.4558,50.0852,5.5655,0.18840E+02,0.31406E+00,14,26.2631,14,26.5549,384.3280,14,52.8180,15,27.0549,0.00000E+00,0.00000E+00,COELESCE
26031,32.7632,27.3182,7.9380,0.13226E+02,0.33619E+00,14,25.1781,14,7.4731,529.0640,15,32.2720,14,32.6512,0.00000E+00,0.00000E+00,COELESCE
26430,36.2034,23.1536,9.6575,0.11245E+02,0.59626E+00,14,11.1366,14,11.9390,188.8289,14,23.0755,15,13.6660,0.00000E+00,0.00000E+00,COELESCE
26773,55.5322,39.7062,6.6033,0.30751E+02,0.13572E-01,14,18.2759,14,18.6050,11179.6250,14,36.8810,15,19.1050,0.00000E+00,0.00000E+00,COELESCE
26974,118.2714,108.2037,4.4025,0.57664E+01,0.38290E-01,14,39.0680,14,37.6730,5.9642,15,38.8469,14,76.7410,0.00000E+00,0.00000E+00,COELESCE
26985,33.1419,18.3274,11.6267,0.94322E+02,0.96779E+00,14,12.7619,14,6.2546,1003.0563,15,32.6457,14,19.0165,0.00000E+00,0.00000E+00,COELESCE
27723,57.1261,35.4473,6.9723,0.27090E+02,0.14160E-01,14,17.9892,14,17.3219,7745.9160,15,18.4153,14,35.3111,0.00000E+00,0.00000E+00,COELESCE
28065,149.8445,114.9533,4.3508,0.61024E+01,0.40867E-01,14,41.6531,14,38.2574,6.0869,15,42.2791,14,79.9105,0.00000E+00,0.00000E+00,COELESCE
28081,73.3119,50.4656,5.7986,0.35516E+02,0.10191E-01,14,24.4733,14,24.5896,8509.8906,14,49.0630,15,25.0896,0.00000E+00,0.00000E+00,COELESCE
28220,105.9546,46.2104,5.9490,0.38234E+02,0.86149E-02,14,31.9850,14,26.0541,7012.2944,15,32.2112,14,58.0391,0.00000E+00,0.00000E+00,COELESCE
28499,26.4942,24.1890,10.0324,0.13285E+02,0.80230E+00,14,8.5115,14,8.9892,120.0516,14,17.5007,15,12.1501,0.00000E+00,0.00000E+00,COELESCE
28660,54.9118,21.9229,9.1943,0.14083E+02,0.35542E+00,14,23.8120,14,10.8525,444.4621,15,23.6109,14,34.6644,0.00000E+00,0.00000E+00,COELESCE
29237,42.2205,16.2179,11.6310,0.11640E+02,0.40429E+00,14,15.3800,14,5.9231,814.9067,15,15.6875,14,21.3031,0.00000E+00,0.00000E+00,COELESCE
30075,117.7114,100.3133,4.4961,0.57993E+01,0.35357E-01,14,38.9257,14,37.2098,6.1337,15,38.6571,14,76.1355,0.00000E+00,0.00000E+00,COELESCE
30233,67.1944,54.5665,5.3251,0.22596E+02,0.34670E+00,14,31.9937,14,30.1538,447.1488,15,64.7492,14,62.1475,0.00000E+00,0.00000E+00,COELESCE
30407,139.5032,64.1685,4.6899,0.34072E+02,0.71778E+00,14,30.1060,14,33.1128,286.3912,14,63.2188,15,34.1326,0.00000E+00,0.00000E+00,COELESCE
30976,40.0948,29.6932,7.7964,0.11380E+02,0.88600E-01,14,16.8680,14,15.4744,318.2945,15,16.6613,14,32.3424,0.00000E+00,0.00000E+00,COELESCE
31478,67.7996,36.4249,6.7592,0.20272E+02,0.12979E-01,14,19.0363,14,19.4888,1900.3591,14,38.5252,15,19.9888,0.00000E+00,0.00000E+00,COELESCE
32575,117.9230,81.5802,4.4611,0.38093E+02,0.39168E+00,14,46.8318,14,41.3018,1097.6635,15,53.3442,14,88.1336,0.00000E+00,0.00000E+00,COELESCE
32651,29.3369,19.2873,11.6212,0.98373E+02,0.94772E+00,14,15.5915,14,3.9413,5624.6006,15,28.9483,14,19.5328,0.00000E+00,0.00000E+00,COELESCE
32960,41.9766,34.8801,6.9626,0.14793E+02,0.32555E+00,14,17.6342,14,18.1878,455.4365,14,35.8221,15,18.6878,0.00000E+00,0.00000E+00,COELESCE
33407,130.2389,48.7134,5.6209,0.26561E+02,0.35165E+00,14,42.4078,14,30.2535,540.7712,15,46.3260,14,72.6614,0.00000E+00,0.00000E+00,COELESCE
34098,96.3920,81.8849,4.4802,0.30757E+02,0.37828E+00,14,35.4670,14,41.3469,739.3419,14,76.8139,15,46.6966,0.00000E+00,0.00000E+00,COELESCE
34113,98.4978,39.7640,6.3205,0.28797E+02,0.98774E-02,14,27.0786,14,23.5419,3425.5056,15,27.2949,14,50.6205,0.00000E+00,0.00000E+00,COELESCE
34476,67.6738,41.7024,6.3561,0.27453E+02,0.11864E-01,14,21.1479,14,20.9970,4856.4766,15,21.5186,14,42.1449,0.00000E+00,0.00000E+00,COELESCE
35146,134.2171,79.4808,4.5006,0.35119E+02,0.50991E+00,14,46.2375,14,40.7228,519.3643,15,56.2718,14,86.9603,0.00000E+00,0.00000E+00,COELESCE
35666,37.4070,17.8170,11.2609,0.15133E+02,0.76968E+00,14,12.3525,14,7.3794,226.9276,15,13.7663,14,19.7319,0.00000E+00,0.00000E+00,COELESCE
36164,52.7255,33.8656,7.2072,0.24508E+02,0.15274E-01,14,16.5024,14,16.2323,6538.3486,15,16.9514,14,32.7346,0.00000E+00,0.00000E+00,COELESCE
