ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
177,30.0107,25.0998,9.8278,0.87951E+01,0.29291E+00,14,6.2241,14,7.6105,1069.2233,14,13.8346,15,11.3624,0.00000E+00,0.00000E+00,COELESCE
193,25.2478,16.9188,13.7070,0.49689E+01,0.40441E+00,14,4.1688,14,3.3848,498.8102,15,8.8093,14,7.5536,0.00000E+00,0.00000E+00,COELESCE
559,60.8322,48.7011,5.9347,0.27651E+02,0.11710E-01,14,20.4768,14,22.2229,4814.0288,14,42.6997,15,22.7229,0.00000E+00,0.00000E+00,COELESCE
686,32.2858,27.8801,8.8485,0.92443E+01,0.19502E+00,14,7.3452,14,9.9825,810.2729,14,17.3276,15,12.7073,0.00000E+00,0.00000E+00,COELESCE
798,54.4451,44.6854,6.2276,0.20380E+02,0.13083E-01,14,18.1511,14,20.0659,1992.5398,14,38.2170,15,20.5659,0.00000E+00,0.00000E+00,COELESCE
864,30.7892,16.4028,12.5514,0.96119E+01,0.54850E+00,14,6.3261,14,4.0206,1482.9150,15,10.5084,14,10.3467,0.00000E+00,0.00000E+00,COELESCE
1008,61.3080,56.8674,5.5350,0.35318E+02,0.10850E-01,14,20.6973,14,25.3845,10102.8662,14,46.0818,15,25.8845,0.00000E+00,0.00000E+00,COELESCE
1029,20.9775,20.8958,10.4844,0.69295E+01,0.41886E+00,13,2.5835,13,2.5067,5599.1836,14,5.0901,15,7.0904,0.00000E+00,0.00000E+00,COELESCE
1054,31.2320,18.5122,11.9342,0.12740E+02,0.35002E+00,14,7.0239,14,4.7052,6750.8979,15,10.9751,14,11.7291,0.00000E+00,0.00000E+00,COELESCE
1202,28.1282,18.4011,12.3536,0.45817E+01,0.41892E+00,14,5.2163,14,4.1628,186.4957,15,9.6736,14,9.3791,0.00000E+00,0.00000E+00,COELESCE
1258,56.7152,37.9212,6.7649,0.13856E+02,0.14281E-01,14,16.5020,14,18.5090,559.9387,14,35.0110,15,19.0090,0.00000E+00,0.00000E+00,COELESCE
1284,26.4402,20.5222,11.7155,0.43217E+01,0.44316E+00,14,4.5512,14,4.8097,136.8774,14,9.3609,15,9.3886,0.00000E+00,0.00000E+00,COELESCE
1623,40.3840,37.5716,7.0127,0.87008E+01,0.17845E-01,14,12.2845,14,15.7344,176.4822,14,28.0189,15,16.2581,0.00000E+00,0.00000E+00,COELESCE
1730,60.8764,26.8249,7.8760,0.28137E+02,0.15422E-01,14,17.6762,14,14.7456,11615.6035,15,18.0984,14,32.4219,0.00000E+00,0.00000E+00,COELESCE
1916,29.2978,22.0793,10.8095,0.90313E+01,0.32655E+00,14,5.8670,14,6.0304,1700.0925,14,11.8974,15,10.3198,0.00000E+00,0.00000E+00,COELESCE
1938,44.5747,16.7977,10.5542,0.78044E+00,0.45021E+00,14,10.2113,14,3.3252,10.6123,15,12.7397,14,13.5364,0.00000E+00,0.00000E+00,COELESCE
2064,36.9316,23.9866,9.4510,0.46071E+01,0.24284E+00,14,9.6710,14,7.5214,55.8937,15,12.4694,14,17.1925,0.00000E+00,0.00000E+00,COELESCE
2087,47.2395,38.6661,6.8169,0.12146E+02,0.15384E-01,14,15.2698,14,17.2315,414.9608,14,32.5013,15,17.7416,0.00000E+00,0.00000E+00,COELESCE
2106,32.9021,21.6471,10.5202,0.59111E+01,0.30155E+00,14,7.6292,14,6.0777,229.0971,15,11.3302,14,13.7069,0.00000E+00,0.00000E+00,COELESCE
2234,23.9574,21.7178,10.0365,0.37700E+02,0.91209E+00,14,4.6774,13,2.6581,8195.0557,15,9.2498,14,7.3354,0.00000E+00,0.00000E+00,COELESCE
2399,38.7554,22.5778,9.5458,0.37594E+01,0.24657E+00,14,9.4631,14,6.7794,34.0641,15,12.3472,14,16.2426,0.00000E+00,0.00000E+00,COELESCE
2453,39.1532,28.4250,8.4455,0.67462E+01,0.47084E-01,14,11.5613,14,10.8185,126.1062,15,13.4383,14,22.3798,0.00000E+00,0.00000E+00,COELESCE
2476,38.2419,30.7578,8.1157,0.14377E+02,0.66284E-01,14,11.2927,14,12.6059,1989.8823,14,23.8986,15,13.9954,0.00000E+00,0.00000E+00,COELESCE
2561,53.1810,49.5453,5.9394,0.23056E+02,0.12650E-01,14,17.6552,14,21.8716,2974.7290,14,39.5268,15,22.3716,0.00000E+00,0.00000E+00,COELESCE
2575,26.9992,18.2020,12.4938,0.99659E+01,0.20917E+00,14,10.3847,14,3.0676,3154.5693,15,26.6733,14,13.4523,0.00000E+00,0.00000E+00,COELESCE
2627,54.8756,33.3811,6.6256,0.20871E+02,0.95440E-01,14,23.5846,14,7.9756,4947.7329,15,24.0219,14,31.5602,0.00000E+00,0.00000E+00,COELESCE
2642,113.1747,66.1777,5.2060,0.32513E+02,0.15831E-01,14,34.0775,14,33.2437,2353.3020,15,34.8363,14,67.3212,0.00000E+00,0.00000E+00,COELESCE
2756,37.3647,32.7123,7.8405,0.12110E+02,0.24210E-01,14,10.7809,14,13.8636,942.0329,14,24.6446,15,14.5596,0.00000E+00,0.00000E+00,COELESCE
2853,30.3029,22.9881,10.3516,0.44849E+01,0.30685E+00,14,6.1663,14,6.3668,102.6949,14,12.5331,15,10.5551,0.00000E+00,0.00000E+00,COELESCE
2952,32.8839,22.5101,9.7587,0.11832E+02,0.37388E+00,14,7.2582,13,2.0657,12752.1133,15,11.1149,14,9.3239,0.00000E+00,0.00000E+00,COELESCE
3345,27.1695,24.9045,9.9618,0.83535E+01,0.29251E+00,14,4.9016,14,7.5310,1242.0580,14,12.4326,15,11.3133,0.00000E+00,0.00000E+00,COELESCE
3492,53.0193,30.7082,7.5657,0.82643E+01,0.17669E-01,14,12.5818,14,15.7162,141.0403,14,28.2979,15,16.2400,0.00000E+00,0.00000E+00,COELESCE
3526,45.4278,22.8658,9.0723,0.49494E+01,0.15512E+00,14,11.6127,14,8.5482,53.1463,15,13.4473,14,20.1609,0.00000E+00,0.00000E+00,COELESCE
3640,57.6100,54.4266,5.6468,0.31237E+02,0.11513E-01,14,19.3696,14,24.0606,7452.0298,14,43.4301,15,24.5606,0.00000E+00,0.00000E+00,COELESCE
3641,44.6197,42.8703,6.2925,0.24382E+02,0.14489E-01,14,16.6744,14,17.8351,5494.3560,14,34.5095,15,18.3389,0.00000E+00,0.00000E+00,COELESCE
3701,33.4117,16.0186,12.3130,0.10849E+02,0.57748E+00,14,7.6104,14,4.1084,1466.5236,15,11.3414,14,11.7188,0.00000E+00,0.00000E+00,COELESCE
3733,31.2026,18.0666,11.7578,0.48401E+01,0.13090E+00,14,6.5022,14,4.6851,254.3645,15,10.6255,14,11.1874,0.00000E+00,0.00000E+00,COELESCE
3769,119.9626,41.8603,6.1373,0.92060E+01,0.92111E-02,14,27.3130,14,26.9694,34.9528,15,27.0728,14,54.2824,0.00000E+00,0.00000E+00,COELESCE
