ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
1044,69.5474,64.3689,5.1924,0.40730E+02,0.20907E-01,14,28.2380,14,33.8811,7330.3813,14,62.1192,15,35.1799,0.00000E+00,0.00000E+00,COELESCE
1289,74.3594,54.3256,5.5761,0.38428E+02,0.82205E-02,14,29.9390,14,30.8844,6172.2427,14,60.8234,15,31.3844,0.00000E+00,0.00000E+00,COELESCE
2630,55.2653,27.1020,7.8767,0.17577E+02,0.15012E-01,14,16.6783,14,16.6290,1663.1516,15,17.1529,14,33.3074,0.00000E+00,0.00000E+00,COELESCE
3026,36.1843,28.3249,8.4231,0.54676E+01,0.32841E+00,14,17.8026,14,14.6986,19.6236,15,36.1075,14,32.5011,0.00000E+00,0.00000E+00,COELESCE
5144,48.4496,35.3688,7.0472,0.22914E+02,0.13707E-01,14,17.5907,14,18.8864,3653.8618,14,36.4772,15,19.3864,0.00000E+00,0.00000E+00,COELESCE
6764,75.5348,34.9067,6.7400,0.68813E+01,0.34935E+00,14,32.6109,14,22.1461,12.4620,15,33.2772,14,54.7570,0.00000E+00,0.00000E+00,COELESCE
6776,43.9415,29.0942,7.9482,0.26417E+02,0.16114E-01,14,15.6977,14,15.3315,10245.8193,15,16.1867,14,31.0292,0.00000E+00,0.00000E+00,COELESCE
7089,51.6830,41.7896,6.4178,0.22440E+02,0.11966E-01,14,19.3090,14,22.4746,2248.3748,14,41.7836,15,22.9746,0.00000E+00,0.00000E+00,COELESCE
7141,64.3893,33.9961,6.9453,0.27644E+02,0.11524E-01,14,22.5822,14,20.8057,4589.1987,15,23.0387,14,43.3879,0.00000E+00,0.00000E+00,COELESCE
7288,52.5798,33.7724,7.1438,0.27115E+02,0.13201E-01,14,19.1836,14,18.6926,6331.2666,15,19.6641,14,37.8762,0.00000E+00,0.00000E+00,COELESCE
7547,50.5796,24.9951,8.3542,0.23338E+02,0.16070E-01,14,16.5022,14,14.6116,6290.6382,15,16.9845,14,31.1138,0.00000E+00,0.00000E+00,COELESCE
8174,50.8904,32.8935,7.2971,0.68878E+01,0.21645E+00,14,21.1108,14,19.1993,25.9103,15,21.5240,14,40.3101,0.00000E+00,0.00000E+00,COELESCE
8334,60.2859,49.4470,5.8462,0.38362E+02,0.97946E-02,14,24.0238,14,27.0250,10269.3193,14,51.0488,15,27.5250,0.00000E+00,0.00000E+00,COELESCE
9539,46.2414,32.4898,7.4198,0.27897E+02,0.14675E-01,14,16.8794,14,17.1922,9639.9805,14,34.0716,15,17.6937,0.00000E+00,0.00000E+00,COELESCE
9714,76.2093,32.2698,6.9538,0.29347E+02,0.10499E-01,14,25.7614,14,21.8605,4433.4209,15,26.1778,14,47.6219,0.00000E+00,0.00000E+00,COELESCE
9930,72.4885,60.1587,5.3395,0.42268E+02,0.14563E-01,14,29.4889,14,32.7845,8371.8984,14,62.2734,15,33.6913,0.00000E+00,0.00000E+00,COELESCE
10372,42.9476,32.2224,7.5393,0.26975E+02,0.15504E-01,14,15.5054,14,16.7445,9943.3477,14,32.2499,15,17.2466,0.00000E+00,0.00000E+00,COELESCE
10933,37.1710,16.4423,11.7101,0.69715E+01,0.54963E+00,14,14.4336,14,6.7028,64.0200,15,14.9206,14,21.1363,0.00000E+00,0.00000E+00,COELESCE
11022,30.5671,22.8953,10.1435,0.60030E+01,0.49106E+00,14,10.6208,14,10.2829,44.5247,15,30.5153,14,20.9037,0.00000E+00,0.00000E+00,COELESCE
